address,population,households,latitude,longitude
宮崎県宮崎市新栄町,400,209,31.9090502,131.4544871
宮崎県宮崎市新町一丁目,163,83,31.8564459,131.3954506
宮崎県宮崎市新町二丁目,410,220,31.854571,131.395724
宮崎県宮崎市日ノ出町,612,329,31.9057619,131.4511641
宮崎県宮崎市旭一丁目,377,227,31.9091359,131.4259323
宮崎県宮崎市旭二丁目,288,170,31.909361,131.428351
宮崎県宮崎市昭和町,958,530,31.9103924,131.4365458
宮崎県宮崎市昭栄町,541,332,31.9128139,131.45486
宮崎県宮崎市曽師町,1190,586,31.9109719,131.4408159
宮崎県宮崎市月見ケ丘一丁目,766,321,31.882484,131.423395
宮崎県宮崎市月見ケ丘七丁目,433,195,31.8780156,131.4146404
宮崎県宮崎市月見ケ丘三丁目,506,231,31.875341,131.418765
宮崎県宮崎市月見ケ丘二丁目,1389,645,31.878202,131.421968
宮崎県宮崎市月見ケ丘五丁目,1166,567,31.8828032,131.4181625
宮崎県宮崎市月見ケ丘六丁目,912,431,31.8801829,131.4135387
宮崎県宮崎市月見ケ丘四丁目,912,405,31.8782513,131.4180509
宮崎県宮崎市木原上木原,687,270,31.9092987,131.4266458
宮崎県宮崎市木原下木原,390,147,31.9972217,131.4593408
宮崎県宮崎市木原中木原,301,169,31.9092987,131.4266458
宮崎県宮崎市木原新町,1236,823,38.9032635,141.5542203
宮崎県宮崎市木原永田,291,171,31.9092987,131.4266458
宮崎県宮崎市木原黒坂,331,120,,
宮崎県宮崎市末広一丁目,620,437,31.911823,131.418278
宮崎県宮崎市末広二丁目,416,307,31.913958,131.414277
宮崎県宮崎市本郷一丁目,506,223,31.8662171,131.4288647
宮崎県宮崎市本郷三丁目,425,181,31.863574,131.427975
宮崎県宮崎市本郷二丁目,332,152,31.8639134,131.4297685
宮崎県宮崎市村角町,3008,1165,31.952936,131.4519417
宮崎県宮崎市東上那珂,2751,1032,32.024426,131.435168
宮崎県宮崎市東大宮一丁目,566,242,31.945605,131.435716
宮崎県宮崎市東大宮三丁目,446,184,31.9478037,131.4403987
宮崎県宮崎市東大宮二丁目,965,419,31.948024,131.436647
宮崎県宮崎市東大宮四丁目,892,354,31.944738,131.438643
宮崎県宮崎市東大淀一丁目,486,259,31.9004023,131.4262793
宮崎県宮崎市東大淀二丁目,274,137,31.895206,131.422057
宮崎県宮崎市東宮一丁目,1336,446,31.850028,131.429725
宮崎県宮崎市東宮二丁目,1264,389,31.8512267,131.4251251
宮崎県宮崎市松小路,50,22,,
宮崎県宮崎市松山一丁目,715,516,31.9059753,131.4268062
宮崎県宮崎市松山二丁目,147,101,31.904835,131.428624
宮崎県宮崎市松橋一丁目,578,390,31.9099519,131.4180335
宮崎県宮崎市松橋二丁目,712,418,31.912742,131.413889
宮崎県宮崎市柳丸町,2451,1182,31.9262688,131.4343733
宮崎県宮崎市桜ケ丘町,1132,441,31.9290302,131.3980739
宮崎県宮崎市桜町,1229,432,31.950311,131.437892
宮崎県宮崎市権現町,994,522,31.9302343,131.4348024
宮崎県宮崎市橘通東一丁目,630,424,31.907505,131.422613
宮崎県宮崎市橘通東三丁目,216,147,31.9148358,131.4239382
宮崎県宮崎市橘通東二丁目,185,155,31.911601,131.423424
宮崎県宮崎市橘通東五丁目,969,660,31.922086,131.4254322
宮崎県宮崎市橘通東四丁目,422,239,31.9182215,131.4245726
宮崎県宮崎市橘通西一丁目,283,173,31.9080978,131.4205882
宮崎県宮崎市橘通西三丁目,3,2,31.9149575,131.4223071
宮崎県宮崎市橘通西二丁目,228,181,31.911594,131.421722
宮崎県宮崎市橘通西五丁目,572,357,31.9222258,131.4239406
宮崎県宮崎市橘通西四丁目,31,22,31.918507,131.422954
宮崎県宮崎市正手一丁目,661,334,31.8576232,131.3871011
宮崎県宮崎市正手三丁目,533,259,31.8613089,131.3845005
宮崎県宮崎市正手二丁目,661,364,31.861101,131.387848
宮崎県宮崎市永楽町,1218,662,31.9060925,131.4337027
宮崎県宮崎市江南一丁目,815,345,31.9067821,131.4017226
宮崎県宮崎市江南三丁目,428,183,31.9093977,131.398293
宮崎県宮崎市江南二丁目,971,400,31.906082,131.399204
宮崎県宮崎市江南四丁目,657,271,31.9057451,131.3968261
宮崎県宮崎市江平中町,706,408,31.923474,131.427235
宮崎県宮崎市江平東一丁目,1105,634,31.9270089,131.427261
宮崎県宮崎市江平東二丁目,391,221,31.930055,131.428452
宮崎県宮崎市江平東町,925,486,31.925392,131.429084
宮崎県宮崎市江平町一丁目,21,17,31.9240973,131.4259142
宮崎県宮崎市江平西一丁目,577,324,31.926083,131.4248976
宮崎県宮崎市江平西二丁目,346,190,31.9296239,131.4263423
宮崎県宮崎市池内町,1694,610,31.9692292,131.4147088
宮崎県宮崎市池田台北クリーン池田台,1282,426,,
宮崎県宮崎市池田台第三池田台,1495,575,,
宮崎県宮崎市波島一丁目,1160,509,31.9390662,131.4468402
宮崎県宮崎市波島二丁目,1119,502,31.9379623,131.4492166
宮崎県宮崎市浦之名久木野（大字浦之名）,83,29,,
宮崎県宮崎市浦之名去川（去川）,33,25,,
宮崎県宮崎市浦之名小田元（大字浦之名）,144,49,,
