address,latitude,longitude,population,households,huff_1.0,huff_1.2,huff_1.5,huff_1.8,huff_2.0
宮崎県宮崎市大字上北方,31.9572808,131.4063923,336,134,0.06581677279038467,0.07480043457737161,0.08718788166235125,0.0983375906052609,0.1051569195761823
宮崎県宮崎市大字内海,31.7508661,131.4616491,826,435,0.03540213728403712,0.03778982395152957,0.04103998263821516,0.04389828018588488,0.04559879762812757
宮崎県宮崎市大字加江田,31.8132102,131.4277999,1171,449,0.04418474935992085,0.04809047711306037,0.05346436689281808,0.058520638157813824,0.06148349778892724
宮崎県宮崎市大字加納かのう台,,,579,239,,,,,
宮崎県宮崎市大字加納ニュータウン飛鳥,,,616,249,,,,,
宮崎県宮崎市大字加納ニュー池田台,,,646,260,,,,,
宮崎県宮崎市大字加納上中野,,,224,140,,,,,
宮崎県宮崎市大字加納上加納,,,552,230,,,,,
宮崎県宮崎市大字加納下中野,,,221,88,,,,,
宮崎県宮崎市大字加納下加納,,,2327,1102,,,,,
宮崎県宮崎市大字加納加納ケ丘,,,1996,924,,,,,
宮崎県宮崎市大字加納南加納,,,959,470,,,,,
宮崎県宮崎市大字加納池田台二区,,,678,263,,,,,
宮崎県宮崎市大字吉野,31.973456,131.335205,164,75,0.04131011886847928,0.04610378203655766,0.05305447530115791,0.06274735830670247,0.07011064112954293
宮崎県宮崎市大字堤内,31.9727319,131.3474075,86,36,0.04290024410619194,0.047948075849360644,0.05717606981336974,0.06912990035047548,0.07763383097655367
宮崎県宮崎市大字塩路,31.9752454,131.4662862,1130,452,0.08718979548473678,0.10625263013302745,0.13583283673182317,0.1654229416733341,0.18467497646906547
宮崎県宮崎市大字大瀬町,31.9773118,131.3821492,1618,610,0.0527973336875425,0.05938419305584634,0.0686628407129151,0.07719367684407641,0.0824983453050848
宮崎県宮崎市大字富吉,31.9412418,131.3504455,1223,485,0.05341661948397234,0.06354114968105669,0.08303370180885467,0.10524987309769594,0.12163058316636723
