日付,曜日,台売上合計,台売上,台粗利合計,台粗利,打込,総打込,利益率,有効S,入賞S1,BA,MY,出玉率,客滞率,玉単価,玉利,割数,勝率,景品額平均,台数,元ファイル
2023/2/18,土,10034977,13937,1659542,2305,14787,10646996,16.54%,5.53,5.76,85.82,6343,98.13%,173.96%,0.943,0.156,9.39,39.17%,13087,720,202302.csv
2023/2/19,日,10965254,15230,2625469,3646,15161,10916224,23.94%,5.5,5.72,84.54,6535,94.15%,172.11%,1.004,0.241,8.17,34.72%,12445,720,202302.csv
2023/2/20,月,13437498,18663,2449876,3403,17102,12313473,18.23%,5.51,5.75,85.43,7198,97.50%,168.35%,1.091,0.199,9.22,37.64%,17210,720,202302.csv
2023/2/22,水,9994963,13882,2394723,3326,13380,9633707,23.96%,5.56,5.86,84.84,5819,96.67%,169.84%,1.037,0.249,8.95,34.31%,12418,720,202302.csv
2023/2/23,木,8742865,12143,916493,1273,12353,8894250,10.48%,5.6,5.85,84.31,5622,98.77%,177.95%,0.983,0.103,9.59,34.72%,11649,720,202302.csv
2023/2/24,金,7557283,10496,1388569,1929,10024,7217318,18.37%,5.57,5.8,85.61,4870,97.66%,172.44%,1.047,0.192,9.26,34.17%,9719,720,202302.csv
2023/2/25,土,13488331,18734,1800560,2501,17848,12850543,13.35%,5.66,5.94,85.11,7062,98.08%,183.47%,1.05,0.14,9.33,40.69%,17478,720,202302.csv
2023/2/26,日,10271698,14266,1840985,2557,13944,10039711,17.92%,5.58,5.82,85.25,6200,98.43%,177.79%,1.023,0.183,9.48,38.19%,13525,720,202302.csv
2023/2/27,月,7476361,10384,1168058,1622,10709,7710760,15.62%,5.54,5.75,85.25,4928,97.37%,166.85%,0.97,0.151,9.19,32.08%,9539,720,202302.csv
2023/2/28,火,7970079,11070,2758740,3832,9899,7127060,34.61%,5.52,5.74,84.41,4388,90.81%,160.23%,1.118,0.387,7.3,30.69%,8082,720,202302.csv
2023/3/1,水,7870502,10931,2432701,3379,10225,7361863,30.91%,5.54,5.76,84.51,4394,90.60%,167.28%,1.069,0.33,7.1,29.58%,7762,720,202303.csv
2023/3/2,木,7467641,10372,1844957,2562,10300,7416186,24.71%,5.55,5.78,85.07,4515,93.73%,170.03%,1.007,0.249,8.04,30.56%,8338,720,202303.csv
2023/3/3,金,8385879,11647,1704072,2367,12208,8789943,20.32%,5.54,5.75,84.47,5127,93.73%,167.21%,0.954,0.194,8.06,30.97%,9385,720,202303.csv
2023/3/4,土,9916698,13773,2518240,3498,13675,9846072,25.39%,5.48,5.71,84.4,5543,93.09%,169.67%,1.007,0.256,7.82,35.83%,10777,720,202303.csv
2023/3/5,日,10179202,14138,1876228,2606,14489,10432131,18.43%,5.55,5.76,84.43,6214,96.01%,174.08%,0.976,0.18,8.72,36.53%,12323,720,202303.csv
2023/3/6,月,14713513,20435,2948959,4096,18426,13266600,20.04%,5.52,5.77,84.52,7211,94.44%,161.67%,1.109,0.222,8.34,37.50%,17049,720,202303.csv
2023/3/8,水,8343968,11589,1170938,1626,13013,9369615,14.03%,5.66,5.89,85.07,5344,96.88%,175.48%,0.891,0.125,8.97,35.42%,10401,720,202303.csv
2023/3/9,木,7782159,10809,1408194,1956,10666,7679818,18.10%,5.55,5.76,85.09,4659,95.80%,170.03%,1.013,0.183,8.65,31.81%,9350,720,202303.csv
2023/3/10,金,7310283,10153,1616767,2246,9913,7137213,22.12%,5.58,5.82,85.05,4413,95.33%,169.86%,1.024,0.227,8.5,33.19%,8632,720,202303.csv
2023/3/11,土,9821896,13642,1935883,2689,13420,9662138,19.71%,5.56,5.79,86.02,5871,95.89%,170.39%,1.017,0.2,8.71,33.61%,11877,720,202303.csv
2023/3/12,日,8926545,12398,1734093,2408,13118,9445295,19.43%,5.54,5.8,84.44,5515,95.90%,180.48%,0.945,0.184,8.63,36.94%,10703,720,202303.csv
2023/3/13,月,7791909,10822,1257763,1747,10843,7806775,16.14%,5.59,5.85,85.08,4904,98.41%,169.90%,0.998,0.161,9.49,32.64%,10268,720,202303.csv
